source,title,link,location,desc
bizbuysell,Elite Spa Location Great Opportunity for your Concept!,/Business-Opportunity/Elite-Spa-Location-Great-Opportunity-for-your-Concept/1151334/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Longboat Key, FL","
                                        Looking for an amazing market and location.  Look no further as the Elite of Florida are at your door steps.  This amazing shopping district is ready and waiting for you to take this existing successful spa concept to the next level.  Perfect for first time business owner or someone wanting exposure to the elite customer base to expand there products.  This is a class A plaza.  Interest buyers please complete Non-Disclosure.  Location will be released once signed NDA is received.  No bank loans and buyer must have strong financials for landlord approval.
                                    "
bizbuysell,Emerging Home Care Franchise with License in North Carolina,/Business-Opportunity/Emerging-Home-Care-Franchise-with-License-in-North-Carolina/1122286/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Matthews, NC","
                                        Do you want to run your own senior care business and be part of the fastest-growing franchise system with the most experienced management team in the industry? This is an immediate market opportunity to acquire an emerging business.

Dynamic, service leading franchise immediately available for right owner candidate who wants to ""take charge"" and build this business using industry-leading tools, systems and processes.  Business is serving clients with pool of caregivers and extensive demographics support market area with multiple territories secured for growth  Owners have been partial-absentee and desire to exit after finding the right, hands on buyer.
                                    "
bizbuysell,Multi-modality Diagnostic Imaging Company,/Business-Opportunity/Multi-modality-Diagnostic-Imaging-Company/774967/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Miami, FL","
                                        This fully-staffed, turn-key Multi-modality diagnostic Imaging center was professionally built and designed for excellent patient flow providing a warm non-institutional feel. The design of the building also addresses ease for future equipment upgrade installations. This ACR accredited facility was established in 2004 and provides a full array of diagnostic imaging procedures. Referring physicians are able to log on to the Company s PACS (Picture Archiving and Communication Systems) to receive real-time scans of their patients and have direct access to the Company s radiologists. The facility also has an RIS (Radiology Information system) designed for the management of radiological information. 
 
This company has over 120 preferred provider agreements with managed care companies, HMO, PPO, Workers Compensation, and other payer sources (capitated and fee-for-service). 
 
The two story Imaging Center is located in a highly traveled and centrally located area. The facility operates from a 15,000 square foot building that is owned by the seller. The building can be leased at $20 per foot triple net or sold separately (real estate price is separate from the business). 
 
The facility is fully staffed and in operation. The physicians and staff are willing to stay on with the new owner. The owner is willing to stay on during the transitional period. 
 
 The center includes: 
 
>High Field MRI 
>Open MRI 
>Pet scan /pet CT scan 
>CT scanner 
>Nuclear Medicine 
>Digital Mammography 
>Breast Biopsy 
>Ultrasound 
>Bone Density 
>Digital X-Ray 
>PACS / RIS 
>Four company vehicles 
> Multi-camera security system 
 
 
Ideal for a radiologist or a radiology group which can start immediately with turn-key set up. It is also ideal for another center / company which has a presence in the area and now can expand its reach and enjoy economies of scale. Asking Price: $4,950,000.00
                                    "
bizbuysell,"Excellent Well Established Retail Phcy -- Averaging 3,500+ Rx's/Month",/Business-Opportunity/Excellent-Well-Established-Retail-Phcy-Averaging-3-500-Rx-s-Month/1159613/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"La Puente, CA","
                                        This is an excellent opportunity to purchase a well established and profitable pharmacy in La Puente.  Located on a busy traffic boulevard and surrounded by medical clinics, this pharmacy has been consistently growing year after year.  Average Rx volume for 2014 was 3,519/month with a Gross Sales of $774,723 and a Gross Profit of $324,876.  Mostly generics with high profit margins.  Owner is not a pharmacist but works as a part-time Tech, plus 2 additional full-time techs.  Net Profit excludes the pharmacist's salary.  Store is 1,200 sq ft and the rent is $1,700 per month.  Most insurances including Medi-Cal, Medicare Part D, and HMO's accepted.  Clean books & records with no past violations whatsoever.  All number can be supported.  Great opportunity for a Pharmacist-Owner to increase the business and add DME.  Approximate inventory at hand is $60,000.  If you want to get more information, please download the attached NDA, complete and sign it, and fax it to me at 818.484.2114.  Serious inquiries only please.
                                    "
bizbuysell,Virginia Podiatry Practice For Sale,/Business-Opportunity/Virginia-Podiatry-Practice-For-Sale/1159440/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"York County, VA","
                                        Virginia Podiatry Practice For Sale
York County, Virginia
Asking $140,000
Ref# DPM600

REF#DPM600: York County is a historically rich area that offers a plethora of cultural and natural treasures including varieties of outdoor recreation destinations. This practice is located within a beautiful, upscale suburban area inside of a modern office condo. There is plenty of parking available and nearby is a freeway to allow easy access to the practice. Once inside, you will find a receptionist area, waiting room (seats 10), doctor office, staff lounge, 3 exam rooms, 1 X-ray, 2 restrooms and 1 storage area. All equipment is included and is in good working condition, ready for immediate operation. In addition, 2 out 5 competing podiatrists are scheduled to retire soon offering a new owner the opportunity for growth.


GROSS INCOME 
2014 = $230,234 
2013 = $248,145 
2012 = $280,719

100% FINANCING Available

Please Contact ProMed Financial, Inc. For More Information
Phone 888-277-6633
                                    "
bizbuysell,Wisconson Optometry Practice w/ Satellite Office For Sale,/Business-Opportunity/Wisconson-Optometry-Practice-w-Satellite-Office-For-Sale/1159436/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Superior, WI","
                                        Wisconson Optometry Practice w/ Satellite Office For Sale
Superior County, Wisconson
Asking $150,000
Ref# OD760

PRIMARY LOCATION: Be the only primary optometric practice in town! This practice has been well-established for 24 years, and the seller is ready to retire. Inside this first of two sister locations, you will find a receptionist area, waiting room (seats 4), 1 fully-equipped exam lane, business office, testing room, storage, contact lens room and restrooms. The inventory includes a great selection of 600 frames and 50 sunglasses and fit-overs.

SATELLITE LOCATION: The satellite location has been established for 9 years and includes a receptionist/waiting room (seats 5), 1 fully-equipped exam lane, lab/storage, testing room, contact lens room, dispensary and restrooms. Inventory includes 378 frames and 18 sunglasses & fit-over sunwear. This office is operates 1 day per week.

100% FINANCING Available

Please Contact ProMed Financial, Inc. For More Information
Phone 888-277-6633
Fax 888-577-6633
www.promed-financial.com
info@promed-financial.com
                                    "
bizbuysell,Oklahoma Dental Practice For Sale,/Business-Opportunity/Oklahoma-Dental-Practice-For-Sale/1159434/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Pontotoc County, OK","
                                        Oklahoma Dental Practice For Sale
Pontotoc County, Oklahoma
Asking $600,000
Ref# D453

REF#D453: First time on the market since being established here in 1996. This high dollar plus producing practice with its 7 Ops is the premier practice in town. Country
living with city amenities and an International Airport just
an hour away. Very active office where Seller is booked out 4 weeks in advance and collections averaging over 87%. Present active patients is over 3,400 with 20 plus new patients each month including room to grow. When the spring thaw comes, this one will be sold and under new management. Cash flow is qualified for 100% financing OAC. This opportunity will not last long - call today!

GROSS INCOME
2014 = $ 747,301
2013 = $ 936,494
2012 = $1,015,762

100% FINANCING Available

Please Contact ProMed Financial, Inc. For More Information
Phone 888-277-6633
                                    "
bizbuysell,In-Home Senior Care * Staffing*Assisted Living Services,/Business-Opportunity/In-Home-Senior-Care-Staffing-Assisted-Living-Services/1159383/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Birmingham, AL","
                                        THIS IS A PROFITABLE TOP NAME IN-HOME SENIOR CARE FRANCHISE. WE RARELY SEE THESE FOR SALE! You will walk into immediate cash flow and a huge client base with many existing contracts. A well-trained internal staff, and many quality care givers will help make your transition into the business smooth. 

This brand includes multiple profit centers and extensive training & support from the franchisor and the seller. Your role as the owner will be to execute the marketing program and oversee your staff. Personal reasons are driving the sale and the seller is motivated. 

The business is a non-medical home care provider assisting primarily seniors over the age 65 with assistance in the activities of daily living including both companion care and hands-on personal care services. The brand offers a continuum of care (beyond basic companionship) which places it at the forefront of the industry and gives a strategic advantage in the marketplace.

YOU DO NOT NEED TO HAVE A MEDICAL OR RELATED BACKGROUND TO BE SUCCESSFUL IN THIS BUSINESS. 

***********************IMPORTANT************IMPORTANT*******************

LOOK FOR an automatic email response from Ted Kolb within five minutes of submitting your request for information. The email will contain a link to our quick 3-minute online NDA. We will contact you to discuss the details of the business shortly after the NDA has been submitted.BE SURE TO CHECK YOUR SPAM or JUNK MAIL FOLDER. 

*********************************************************************************
The seller and the franchisor wished us to keep this sale confidential which is why we are not publishing sensitive financial information or the name.

**** IMPORTANT **** Information in this ad may not reflect the most recent data on the business being sold. Always consult your financial adviser, attorney, or a licensed CPA prior to making any offers on this business. All information concerning this business will be supplied by the franchisor or the actual seller. Blue Stone Business Group has not verified any earnings claims, EBITDA, Cash Flow or add-back numbers. You will need to verify all information with the seller and/or your accountant. Blue Stone Business Group or Patrick Sherman is not responsible for the accuracy of any of the information and you agree to indemnify and hold consultant and its agents harmless from any claims or damages which may occur by reason of the inaccuracy or incompleteness of any information provided to you.
                                    "
bizbuysell,Optical Office for Sale in Hialeah,/Business-Opportunity/Optical-Office-for-Sale-in-Hialeah/1159258/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Hialeah, FL","
                                        Long establish eye care optical center in west Hialeah in busy retail center. Seller starting to semi-retire and no longer wishes to own and operate the clinic, Could stay as an associate or work a reduced schedule, also considering relocating to another state. Store front has very long and establish clients and very well respected in the community. Office is very clean, extremely well organized and has all the updated equipment and all in very good working condition. Inventory getting updated for all frames and product. Please contact agent for NDA and set showing appoint. All showing after business hours.
                                    "
bizbuysell,Established Private Personal Training Studio Gym for Sale Downtown CH,/Business-Opportunity/Established-Private-Personal-Training-Studio-Gym-for-Sale-Downtown-CH/1159233/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Chapel Hill, NC","
                                        Listing is for the sale of a private personal training studio in downtown Chapel Hill. Currently, the studio offers one-on-one personal training sessions, small group sessions, and boot camp classes.

**Client base not tied to owner. Clients are diversified across trainers who are willing to stay on board after sale.**

No business debt
Lease rate significantly below market with flexible terms
20+ new clients in 2014
~ 900 Facebook likes
400+ people on mailing list
Locked in low Tax Rate (NC Unemployment)
                                    "
bizbuysell,"Day Spa and Salon - Established, Turnkey and Profitiable",/Business-Opportunity/Day-Spa-and-Salon-Established-Turnkey-and-Profitiable/1150367/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Spring Hill, FL","
                                        Addome Bella offers a perfect gateway into Day Spa and Salon ownership for a seasoned professional or a first time operator. This thriving business is completely turn-key, fully operational and profitable. The business has very consistent revenues and profitability; revenues have ranged between $340,586 and $374,502 and Seller Discretionary earnings from $121,261 to $131,124 over the past 5 years!  An enthusiastic long tenured team of massage therapists, estheticians and nail technicians are in place and excited about the future under new ownership.
 
The business has been established for 13 years by the current owners and is located in Spring Hill, Florida in Hernando County. The salon is situated in a unique stand-alone building on a serene, wooded and private side street just seconds from the primary thoroughfare of US 19. The salon has a database of over 15,000 clients and has consistently been voted ""Gold Winner"" in the Best of Hernando Reader's Poll.  A loyal client based has been established and the business enjoys excellent repeat business and new business generation through word of mouth. 
 
Everything is included and you can be operating profitably from day one. There is ample room available for expansion and there are several services that could be offered to the existing clientele in addition to the current offerings. All equipment, inventory, software, brand and intellectual property is to be conveyed with sale.
 
This Day Spa and Salon for sale is being offered by Sunbelt Business Brokers of Tampa, a division of the Sunbelt Network, the largest organization of business brokers in the world. As a full service business brokerage firm with a global reach, the team at Sunbelt Business Brokers of Tampa provides business owners with unsurpassed expertise and success in selling their Florida businesses. For information on this listing, contact Tom Howard at: tom@csbizsolutions.com or 941-744-0492.
                                    "
bizbuysell,"In-Home Senior Care Firm - Yorba Linda, CA",/Business-Opportunity/In-Home-Senior-Care-Firm-Yorba-Linda-CA/1159063/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Yorba Linda, CA","
                                        As the oldest of the 80 million US baby boomers approach age 70, demand for in-home senior care services is expected to explode. Industry insiders refer to this growing client pool as “The Silver Tsunami.”
 
This acquisition opportunity features an entrenched firm operating in and around Yorba Linda, California (northeastern Orange County). New clients come primarily from diverse, loyal referral sources that depend on the Company’s proven ability to get the right caregiver to the right residence at the right time and price enabling seniors to age gracefully in the comfort of their homes at a fraction of the cost of facility care.
 
The Company employs more than 80 professionally trained caregivers that currently provide more than 100 clients with companionship, personal care, and activities of daily living such as medical reminders, meal preparation and errands.
 
The Company is exceptionally well-positioned for future growth as the 65+ population in Yorba Linda represents more than 11% of the city’s total population.  Nationally, 10,000 seniors per day turn age 65 - a trend that will continue for the next 18 years.
 
The Company has increased annual revenues by more than 45% since 2011, with 2014 revenue of more than $1.6 million and Owner Cash Flow of nearly $200,000 generated primarily from a diverse, self-pay senior clientele that has the desire and resources to age at home (Yorba Linda’s median household income was $112,259 in the 2010 Census).
                                    "
bizbuysell,Hearing Aid Center - Oregon,/Business-Opportunity/Hearing-Aid-Center-Oregon/1158798/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,OR,"
                                        The business can be purchased with or without the real estate.  

The business only is offered at: $270.000.00.
The business and building are offered at: $645,000.  

The hearing aid industry is about to mushroom with the baby boomers getting into their 60‘s and needing help with their hearing.  The Company is considered a small to midsized opportunity given the population and demographics in its operating area.  

The Owners operate the business; they became licensed fitter dispensers under the supervision of the original owner.  They purchased the building they currently occupy in 2007.   Their clients often comment on how nice the office is and the great location.  They are very proud of what they have accomplished over the years. 

The Company has a proven formula of success. This proven formula combined with the Company’s advanced product line, technology, high level of customer service and the number one brand name in the hearing aid industry helps to drive retail traffic to its  retail locations.

Note: This can be an SBA transaction with Buyer’s cash infusion of $96,750 (15% down payment) and Commercial Lending of $548,250.  The term of the loan would be
19 years at an interest rate of 5.75% with payments of $3,958 per month.
                                    "
bizbuysell,No Exp. Required-$500K Net-Multi Location Waxing Spas For Sale,/Business-Opportunity/No-Exp-Required-500K-Net-Multi-Location-Waxing-Spas-For-Sale/1142140/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Multnomah County, OR","
                                        This successful business started in 1999 and has grown to multiple locations making it the leading waxing spa in the Northwest. Demand for waxing services is at an all-time high for women and men. It is a thriving, recession-resilient business. Waxing is the fastest growing segment of the salon industry. This business has placed its spas in the most popular and trendy areas in Seattle and Portland. They generate combined sales of $2.5 million and Owner's Cash Flow of $400,000-$500,000+ annually. Net profit margin is 20%.
                                    "
bizbuysell,North Shore Optometry Practice,/Business-Opportunity/North-Shore-Optometry-Practice/1124175/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Essex County, MA","
                                        2011 Gross: $797,676
2012 Gross: $896,595
2013 Gross: $893,756
                                    "
bizbuysell,"9 Years In Business Laser & Day Spa For Sale in Soho, Manhattan!",/Business-Opportunity/9-Years-In-Business-Laser-and-Day-Spa-For-Sale-in-Soho-Manhattan/1109518/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"New York, NY","
                                        Spa Highlights:

1. Soho is one of the most desirable locations in Manhattan. 9 years at the same location.
2. Street level retail location.
3. Below market rent.
4. Database of 29000 clients included.
5. Five year lease signed December 2013.
6. 1000 - 1250 services provided each month.
7. New renovation done 7 months ago.
8. Seven rooms. Staff Room. Reception area. Sitting Area. Two Bathrooms.
9. Staff of 14 people.
10. Included cutting edge website. Cost over $15000 to built & develop.
11. Candela Gentlase laser hair removal machine available for additional $19000, new one cost $90000. 
12. Includes Syneron cellutile weight reduction machine available for additional $9000. New machine costs over $30000.
13. In house washer & dryers.
14. Loyal staff. Some of whom have been with us for 9 years, since the first day spa opened.
15. Web based Spa Booker used as POS / booking.
16. Email marketing plan included.
17. Text message marketing plan included.
                                    "
bizbuysell,35 Years General Dentistry Office,/Business-Opportunity/35-Years-General-Dentistry-Office/1151260/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Miami, FL","
                                        1,200 SF Dental Office located between 57 Ave & Le June Rd on a Neighborhood shopping center, dentist has been there for more than 8 years and she bought to a retiring dentist that was in the same office for 30 years, office has 3 OP' s and space to make an additional OP, 2 digital RX' s, among many hand pieces, forces and dental tools. The office only pays $2,000 lease per month with lease for 5 years that might be renewed two more terms.

Strip shopping center with frontage to NW 7th ST and behind Miami International Airport
                                    "
bizbuysell,West Phoenix Assisted Living,/Business-Opportunity/West-Phoenix-Assisted-Living/1158402/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Phoenix, AZ","
                                        State licensed for 5 residents - fully occupied at this time. Easy opportunity to own your own business!  Seller will finance - call for details.Real estate for lease at $1,080/month.
                                    "
bizbuysell,Very Profitable Home Care Agency,/Business-Opportunity/Very-Profitable-Home-Care-Agency/1147573/?d=/wEFKCUyZmhlYWx0aC1jYXJlLWNvbXBhbmllcy1mb3Itc2FsZSUyZjIlMmY=,"Palm Desert, CA","
                                        Rare opportunity to own this long time established and well run business.
Currently business is growing in a market environment that has a demographic that is almost doubled every five years!  Amazing opportunity for the individual that wants to help provide service to a growing need.
                                    "
